"rmax.c","d.c","k.c","gamma.c","alpha.c","sigma.c","psi","rmax.m","d.m","k.m","gamma.m","alpha.m","sigma.m","R0_C","R0_M","phi","epsilon","kappa","b.c","b.m","alpha2.c","alpha2.m"
2.12489069871136,0.466733529585375,1957.27502807332,0.429528263154819,2.78400278092921,0.357275559889682,0.991883641275527,0.071828944068041,0.021779827862495,300.001637766324,0.794135885146954,1.19187303790401,0.9803720663696,2.35479138462776,0.40114853840348,0.5,1.99842150508527,1,2.59162422829674,0.0936087719305361,1.29938744431859,0.0259587895994983
1.55682702716483,0.481934405678938,2295.07947921322,0.214985051527748,7.59207537153318,0.0406444984231248,0.0673325245218218,0.0589711316145722,0.0198175123826531,597.94857613052,0.763718210507269,4.97971589680056,0.781270355370657,4.13344197519157,0.566231861998614,0.5,1.99842150508527,1,2.03876143284376,0.0787886439972253,3.65888233204955,0.0986855814469396
3.8520590465055,0.260618887517419,6511.65630097288,0.311079158969664,1.12168834371066,0.86355705643272,0.98349093361561,0.0682441804111972,0.0301183321854433,551.323480911558,0.350272649971101,2.79031986539958,0.448147479303681,1.61927204337699,0.0721822410424199,0.5,1.99842150508527,1,4.11267793402292,0.0983625125966405,0.292333168279129,0.084039780609746
4.69004111190327,0.378196092289685,5131.42031576452,0.734285104620853,9.71604022670445,0.835883830548703,0.555212751688923,0.065367031132713,0.0212609829905145,796.065565205893,0.154405038262435,5.48913697982885,0.582522781251586,3.93855648012705,0.433100635570963,0.5,1.99842150508527,1,5.06823720419296,0.0866280141232275,3.67456844626901,0.116704447960746
3.98247906550008,0.141904741523951,8293.69100742168,0.806869378283538,3.47157854040423,0.587486384478977,0.0124552281140013,0.0863623572750667,0.0198433519183021,296.435681395381,0.559069965562348,8.33753730410187,0.845074179997452,4.39757714250814,0.118374393721664,0.5,1.99842150508527,1,4.12438380702403,0.106205709193369,0.492633455456159,0.165444686857265
2.43918862827103,0.0691480146156154,124.246390786685,0.546144941119508,5.81834785659061,0.0753848524800001,0.753404841187176,0.071658423050372,0.0168088615963938,839.284390133336,0.762904103117409,1.14545282225484,0.797054845237186,1.75613034825403,0.982122847965249,0.5,1.99842150508527,1,2.50833664288665,0.0884672846467658,0.402327202626262,0.0192537579544803
4.79033019573901,0.139185175738003,5934.53560308668,0.0582114894993731,1.94043656284698,0.433310363754935,0.495257081479562,0.00434049401436699,0.0182565979011697,701.812668953909,0.682509420352854,3.08141312519354,0.263457766489698,2.49782056150442,0.293066030047384,0.5,1.99842150508527,1,4.92951537147701,0.0225970919155367,0.270080004008304,0.0562561203940451
0.290857453391854,0.479780903137599,2713.78756155206,0.386262829225592,3.98745226177328,0.740028905524413,0.827932934030235,0.0377236273839972,0.0240684862079858,340.001837752178,0.212245043550314,8.19318799813352,0.992154885454372,1.94680997950742,0.341878467779345,0.5,1.99842150508527,1,0.770638356529453,0.061792113591983,1.91310344737164,0.197197632332511
0.281889467047735,0.445183868775816,9066.31174133483,0.790570161945878,1.25596163901639,0.771948526092327,0.64852590651062,0.00123544084917648,0.0178904854569984,836.344958404788,0.929687959309113,9.75230882440049,0.203462147787787,1.53905767559983,0.325380545128924,0.5,1.99842150508527,1,0.72707333582355,0.0191259263061749,0.559133861491332,0.174473539195094
4.0659605603842,0.20049662213081,5228.89769271261,0.751920230546984,7.12318095846176,0.135623500936577,0.709819114205872,0.0787703994428818,0.0256520195574145,673.877611639695,0.969997599978722,2.45579110465613,0.955791339494705,1.9254823406873,0.602432983560821,0.5,1.99842150508527,1,4.26645718251501,0.104422419000296,1.42817372099808,0.0629960014455637
